GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
12SpringDeployJWTCars,com.jao.spring.domain,User,70,0,0,0,19,0,11,0,11,0
12SpringDeployJWTCars,com.jao.spring.domain,Car,106,0,0,0,27,0,18,0,18,0
12SpringDeployJWTCars,com.jao.spring.config,SwaggerConfig,90,0,0,0,17,0,6,0,6,0
12SpringDeployJWTCars,com.jao.spring,SpringBootApp,8,0,0,0,3,0,2,0,2,0
12SpringDeployJWTCars,com.jao.spring.security.jwt,JwtTokenUtil,92,0,0,0,24,0,5,0,5,0
12SpringDeployJWTCars,com.jao.spring.security.jwt,JwtRequestFilter,75,0,8,0,19,0,8,0,4,0
12SpringDeployJWTCars,com.jao.spring.security.jwt,JwtAuthEntryPoint,17,0,0,0,5,0,3,0,3,0
12SpringDeployJWTCars,com.jao.spring.security.sevice,UserDetailsServiceImpl,35,0,0,0,5,0,3,0,3,0
12SpringDeployJWTCars,com.jao.spring.security.payload,JwtResponse,16,0,0,0,8,0,4,0,4,0
12SpringDeployJWTCars,com.jao.spring.security.payload,MessageResponse,13,0,0,0,6,0,3,0,3,0
12SpringDeployJWTCars,com.jao.spring.security.payload,LoginRequest,17,0,0,0,8,0,5,0,5,0
12SpringDeployJWTCars,com.jao.spring.security.payload,RegisterRequest,24,0,0,0,10,0,7,0,7,0
12SpringDeployJWTCars,com.jao.spring.security.config,SecurityConfig,204,0,0,0,25,0,7,0,7,0
12SpringDeployJWTCars,com.jao.spring.dto,CountDTO,23,0,0,0,11,0,6,0,6,0
12SpringDeployJWTCars,com.jao.spring.dto,MessageDTO,16,0,0,0,8,0,4,0,4,0
12SpringDeployJWTCars,com.jao.spring.dto,CarListDTO,10,0,0,0,4,0,3,0,3,0
12SpringDeployJWTCars,com.jao.spring.service,CalculatorService,0,7,0,0,0,2,0,2,0,2
12SpringDeployJWTCars,com.jao.spring.service,CarServiceImpl,241,0,28,0,64,0,34,0,20,0
12SpringDeployJWTCars,com.jao.spring.rest,CarController,161,0,6,0,42,0,18,0,15,0
12SpringDeployJWTCars,com.jao.spring.rest,HelloController,21,0,0,0,7,0,4,0,4,0
12SpringDeployJWTCars,com.jao.spring.rest,AuthController,92,0,4,0,24,0,5,0,3,0
